labels chunks
closed 0
closed 0
closed 0
closed 0
open 0
open 0
open 0
open 0
closed 1
closed 1
closed 1
closed 1
open 1
open 1
open 1
open 1
closed 2
closed 2
closed 2
closed 2
open 2
open 2
open 2
open 2
closed 3
closed 3
closed 3
closed 3
open 3
open 3
open 3
open 3
closed 4
closed 4
closed 4
closed 4
open 4
open 4
open 4
open 4
closed 5
closed 5
closed 5
closed 5
open 5
open 5
open 5
open 5
closed 6
closed 6
closed 6
closed 6
open 6
open 6
open 6
open 6
closed 7
closed 7
closed 7
closed 7
open 7
open 7
open 7
open 7
closed 8
closed 8
closed 8
closed 8
open 8
open 8
open 8
open 8
closed 9
closed 9
closed 9
closed 9
open 9
open 9
open 9
open 9
closed 10
closed 10
closed 10
closed 10
open 10
open 10
open 10
open 10
closed 11
closed 11
closed 11
closed 11
open 11
open 11
open 11
open 11
closed 12
closed 12
closed 12
closed 12
open 12
open 12
open 12
open 12
closed 13
closed 13
closed 13
closed 13
open 13
open 13
open 13
open 13
closed 14
closed 14
closed 14
closed 14
open 14
open 14
open 14
open 14
closed 15
closed 15
closed 15
closed 15
open 15
open 15
open 15
open 15
closed 16
closed 16
closed 16
closed 16
open 16
open 16
open 16
open 16
closed 17
closed 17
closed 17
closed 17
open 17
open 17
open 17
open 17
closed 18
closed 18
closed 18
closed 18
open 18
open 18
open 18
open 18
closed 19
closed 19
closed 19
closed 19
open 19
open 19
open 19
open 19
closed 20
closed 20
closed 20
closed 20
open 20
open 20
open 20
open 20
closed 21
closed 21
closed 21
closed 21
open 21
open 21
open 21
open 21
closed 22
closed 22
closed 22
closed 22
open 22
open 22
open 22
open 22
closed 23
closed 23
closed 23
closed 23
open 23
open 23
open 23
open 23
closed 24
closed 24
closed 24
closed 24
open 24
open 24
open 24
open 24
closed 25
closed 25
closed 25
closed 25
open 25
open 25
open 25
open 25
closed 26
closed 26
closed 26
closed 26
open 26
open 26
open 26
open 26
closed 27
closed 27
closed 27
closed 27
open 27
open 27
open 27
open 27
closed 28
closed 28
closed 28
closed 28
open 28
open 28
open 28
open 28
closed 29
closed 29
closed 29
closed 29
open 29
open 29
open 29
open 29
closed 30
closed 30
closed 30
closed 30
open 30
open 30
open 30
open 30
closed 31
closed 31
closed 31
closed 31
open 31
open 31
open 31
open 31
closed 32
closed 32
closed 32
closed 32
open 32
open 32
open 32
open 32
closed 33
closed 33
closed 33
closed 33
open 33
open 33
open 33
open 33
closed 34
closed 34
closed 34
closed 34
open 34
open 34
open 34
open 34
closed 35
closed 35
closed 35
closed 35
open 35
open 35
open 35
open 35
closed 36
closed 36
closed 36
closed 36
open 36
open 36
open 36
open 36
closed 37
closed 37
closed 37
closed 37
open 37
open 37
open 37
open 37
closed 38
closed 38
closed 38
closed 38
open 38
open 38
open 38
open 38
closed 39
closed 39
closed 39
closed 39
open 39
open 39
open 39
open 39
closed 40
closed 40
closed 40
closed 40
open 40
open 40
open 40
open 40
closed 41
closed 41
closed 41
closed 41
open 41
open 41
open 41
open 41
closed 42
closed 42
closed 42
closed 42
open 42
open 42
open 42
open 42
closed 43
closed 43
closed 43
closed 43
open 43
open 43
open 43
open 43
closed 44
closed 44
closed 44
closed 44
open 44
open 44
open 44
open 44
closed 45
closed 45
closed 45
closed 45
open 45
open 45
open 45
open 45
closed 46
closed 46
closed 46
closed 46
open 46
open 46
open 46
open 46
closed 47
closed 47
closed 47
closed 47
open 47
open 47
open 47
open 47
